,Review Title,Rating,Comments,Useful,T_Sentiment,C_Sentiment
0,Another Midrange killer Smartphone by Xiaomi,4.0,"Another Midrange killer Smartphone by Xiaomi

Major Highlights:
The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
Powered by the Qualcomm Snapdragon 625 SoC
The phone is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
Battery of 4000 mAh and its Durability
The Tripple Slots
Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn’t too different from what we’ve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it's a bit hefty too, but it’s manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared (IR) emitter which can be used to control IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specifications and software:
The phone uses Qualcomm’s Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn’t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn’t smooth. Our unit was running on a pre-release version of its MIUI software, which prevented us from running most benchmarks.

Storage Options:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & one for SD card)

Heating Issues:
Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. There’s auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn’t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly.
Suggestion for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers don’t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3",0,0.0,0.23826059969442315
1,vry small size mobile,3.0,All ok but vry small size mobile,7,-0.25,0.125
2,Full display not working in all application.,3.0,Quite good,7,0.35,0.7
3,Value for Money,5.0,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",2,0.0,0.14348958333333334
4,Not worth for the money,2.0,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,6,-0.15,-0.8
5,Redmi 6 pro (3/32 GB) review after using for one week.,3.0,"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",2,0.0,0.44117647058823534
6,Fabulous!,4.0,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",3,0.5,0.33749999999999997
7,Fantastic,4.0,Front camera is poor rest things are good,5,0.4,0.14999999999999997
8,Good,5.0,Wooo,5,0.7,0.0
9,All youtubers are paid,5.0,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",2,0.0,0.3
10,Another Midrange killer Smartphone by Xiaomi,4.0,"Another Midrange killer Smartphone by Xiaomi

Major Highlights:
The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
Powered by the Qualcomm Snapdragon 625 SoC
The phone is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
Battery of 4000 mAh and its Durability
The Tripple Slots
Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn’t too different from what we’ve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it's a bit hefty too, but it’s manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared (IR) emitter which can be used to control IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specifications and software:
The phone uses Qualcomm’s Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn’t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn’t smooth. Our unit was running on a pre-release version of its MIUI software, which prevented us from running most benchmarks.

Storage Options:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & one for SD card)

Heating Issues:
Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. There’s auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn’t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly.
Suggestion for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers don’t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3",0,0.0,0.23826059969442315
11,vry small size mobile,3.0,All ok but vry small size mobile,7,-0.25,0.125
12,Full display not working in all application.,3.0,Quite good,7,0.35,0.7
13,Value for Money,5.0,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",2,0.0,0.14348958333333334
14,Not worth for the money,2.0,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,6,-0.15,-0.8
15,Redmi 6 pro (3/32 GB) review after using for one week.,3.0,"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",2,0.0,0.44117647058823534
16,Fabulous!,4.0,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",3,0.5,0.33749999999999997
17,Fantastic,4.0,Front camera is poor rest things are good,5,0.4,0.14999999999999997
18,Good,5.0,Wooo,5,0.7,0.0
19,All youtubers are paid,5.0,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",2,0.0,0.3
20,Awesome product,5.0,awesome product at this range,4,1.0,1.0
21,8-Oct,4.0,"Very nice looks , smooth operation , camera could have been better",3,0.0,0.56
22,Nice handy phone with good camera with notch,4.0,Like every things but fullscreen video playing option is not available in default player...,3,0.6333333333333333,-0.2
23,dont buy these product. these copy of the product,1.0,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",2,0.0,0.25833333333333336
24,Thanks alot Amazon,5.0,"Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI.",1,0.2,0.525
25,Pros and cons,5.0,"No company can provide u these features
Pros:
AWESOME display
Great video stablisation
Great battery
Great performance
Looks beatifull

Cons:
Okk front camera( not very bad considering price)",2,0.0,0.7338461538461539
26,Design can be better,3.0,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,1,0.5,0.36818181818181817
27,Mi 6pro review,3.0,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,3,0.0,-0.15
28,Best phone u can get in this and within 20k budget,5.0,"Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone.",2,1.0,0.4833333333333334
29,Superb Phone. Good for Performance.,5.0,"Good phone at such a valuable price. Notch display.
Value for money",2,0.85,0.35
30,Nice,5.0,Good phone,1,0.6,0.7
31,Fantastic,5.0,"Great product, fully met my expectations....",1,0.4,0.8
32,Good,4.0,Good,1,0.7,0.7
33,Not good as expected,1.0,Do not buy.,1,-0.22499999999999998,0.0
34,High thinker,2.0,No dual 4g if you think new mobile you buy realme 1,2,0.16,0.13636363636363635
35,good phone,5.0,very good phone of this budget......red colour very beautiful,2,0.7,0.955
36,Good service,4.0,Nice product. Delivery guy also.,2,0.7,0.6
37,Bad camera,2.0,Bad camera quality and heating problem,2,-0.6999999999999998,-0.6999999999999998
38,Good phone in budget,4.0,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",0,0.7,0.5719999999999998
39,Redmi Pro 6,3.0,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",1,0.0,0.48333333333333334
40,Nice,5.0,Good phone,1,0.6,0.7
41,Fantastic,5.0,"Great product, fully met my expectations....",1,0.4,0.8
42,Good,4.0,Good,1,0.7,0.7
43,Not good as expected,1.0,Do not buy.,1,-0.22499999999999998,0.0
44,High thinker,2.0,No dual 4g if you think new mobile you buy realme 1,2,0.16,0.13636363636363635
45,good phone,5.0,very good phone of this budget......red colour very beautiful,2,0.7,0.955
46,Good service,4.0,Nice product. Delivery guy also.,2,0.7,0.6
47,Bad camera,2.0,Bad camera quality and heating problem,2,-0.6999999999999998,-0.6999999999999998
48,Good phone in budget,4.0,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",0,0.7,0.5719999999999998
49,Redmi Pro 6,3.0,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",1,0.0,0.48333333333333334
50,Best Mobile in this price category.,4.0,"Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile",1,1.0,0.5666666666666665
51,THIK THAK.,4.0,Like everything besides display.,1,0.0,0.0
52,Upto You,3.0,"A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good on Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices.",1,0.0,0.3055555555555555
53,Batytery is not good mentioned 4000mah but not good,1.0,Please dont't bye camera is good but battery back up not good,2,-0.35,0.11666666666666665
54,Best phone with notch in this price,4.0,"Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen.",1,1.0,0.16375
55,Quality is not good,1.0,"Worst phone from MI and Amazon
Touch was not good and didnot working as expected
Without touching the screen click is happening and unnecessary apps are opening",1,-0.35,-0.27
56,Weste of money,1.0,Both Camera quality is bed.its price is too high and quality are lowest.,2,0.0,0.16
57,Dual 4G support,1.0,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,1,0.0,0.0
58,Trust or not trust as your wish,5.0,This product is very nice and battery life and notch display is very awesome,2,0.0,0.89
59,Awesome fantastic jhakass. lajawaab.,5.0,It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.,1,0.7,0.60875
60,Redmi 6 pro is best in the same money range,5.0,"Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.",0,0.5,0.49499999999999994
61,Not value for money,3.0,"Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months",0,0.0,0.35
62,Good budget phone,4.0,Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.,0,0.7,0.3308888888888889
63,Charger not received in the box,5.0,Charger not received in the box,1,0.0,0.0
64,Good phone,5.0,Width is little less. Still good phone. Face unlock and finger print unlocks are awasome,0,0.7,0.11527777777777777
65,Nice product,5.0,Nice,0,0.6,0.6
66,Nice performance,5.0,Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup,0,0.6,0.7699999999999999
67,and brand like MI.,5.0,"Midrange phone with a notch...and brand like MI...
Aur kya chahiye",0,0.0,0.0
68,Missing part,1.0,disapointing,1,-0.2,0.0
69,Not value for msny,1.0,Worst phone,1,0.0,-1.0
70,Powerful device,5.0,Powerful device I love mi ...thnax Amazon for quick delivery,0,0.3,0.37777777777777777
71,Ok,1.0,Ok,1,0.5,0.5
72,Awesome device,5.0,Top class device... No words!!!,0,1.0,0.9765625
73,Quality.,4.0,Mobile is good also service of Amazon is better than other like paytm.,0,0.0,0.35833333333333334
74,Aswasom,5.0,"I love amezon
Good packing
Good product
Camera battry good",0,0.0,0.6499999999999999
75,Awesome,5.0,Sup up model in MI thank u .. low price best features available,0,1.0,0.4666666666666666
76,Fully satisfied,5.0,One of the best..... In the price range,0,0.5,1.0
77,Awesome phone,5.0,"Phone is good Quality Dual Camera is Very Best
Full display show good dimensions",0,1.0,0.6875
78,Desh ka smartphone,5.0,One of the best of my purchases,0,0.0,1.0
79,Nice look,4.0,"Nice look with notch display, but sound is little bit low..",0,0.6,0.203125
80,Nice,4.0,Good phone,0,0.6,0.7
81,Overall a nice phone,3.0,"Sound quality is not so good
Either way the mobile best in its segment",0,0.3,0.7000000000000001
82,Smart brand.,5.0,Display is best.,0,0.21428571428571427,1.0
83,Waste of money compare another phone,1.0,Sometimes automatically speaker on and little hanging problem camera battery good.,0,-0.2,0.25625
84,Great looking,5.0,"Picture perfect camera
Great sound
Good battery life
Value for money",0,0.8,0.7250000000000001
85,Redmi 6 Pro,5.0,"Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.",0,0.0,1.0
86,Nice one again from xiomi...,5.0,Fabulous products by fabulous xiomi,0,0.6,0.4
87,Redmi 6 pro excellent Product,5.0,this mobile awesome.... i loved it best battery life and performance...,0,1.0,0.9
88,Awesome,5.0,Best to buy...i love it??,0,1.0,0.75
89,5/4.5,5.0,"Battery is good
Phone is good
Camera is good
Praformens is good",0,0.0,0.7
90,Great product,5.0,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours",0,0.8,0.6
91,Look like I phn x. ????????????????????,5.0,No change in camera quality. Other functions super se v uper... ????????????,0,0.0,0.10416666666666666
92,Wow phone,5.0,Awesome phone....all features available....m super happy with phone,0,0.1,0.7111111111111111
93,Good,5.0,Sound and battery life good,0,0.7,0.55
94,Thanks to Amazon,5.0,"Very very nice and budget smartphone good xiaomi

Thanks Amazon",0,0.2,0.5599999999999999
95,Awesome phone,5.0,Good mobile.. battery backup good,0,1.0,0.7
96,Very good desain,3.0,Sound qulity not dolby and processor performance not ok.,0,0.9099999999999999,0.07500000000000001
97,Not A camera fone,4.0,Looking wise sexy but camera quality is not worth over all good,0,0.0,0.4375
98,Super phone,5.0,This is the best phone mi phone,0,0.3333333333333333,1.0
99,Ek jakas cellphone,5.0,"This cellphone is good & economical , more features available",0,0.0,0.475
100,Ek jakas cellphone,5.0,"This cellphone is good & economical , more features available",0,0.0,0.475
101,Awesome,5.0,One of best mobile compare to nokia 6 1 plus,0,1.0,1.0
102,Redmi 6 pro reviee,5.0,Display Quality and battery backup is good,0,0.0,0.7
103,No dual volte,1.0,I'm fan MI but No dual volte.. waste of money..,0,0.0,-0.2
104,Product is good,5.0,"This product is very good, battery backup is very good,",0,0.7,0.9099999999999999
105,nice phone,5.0,In this budget phone is good and Sound quality is also awesome,0,0.6,0.7000000000000001
106,Best smartphone,5.0,I use this phone and I like all quality,0,1.0,0.0
107,Best quality phone,5.0,Best notch light weight phon.,0,1.0,0.7
108,Looking osm,4.0,"Nice product and durability also good..
Best for camera's",0,0.0,0.7666666666666666
109,Battery,5.0,The Product is Bulky would have bring the weight down,0,0.0,-0.15555555555555559
110,Good,4.0,Camera is good,0,0.7,0.7
111,Good,4.0,Good mm??????,0,0.7,0.7
112,Good,4.0,I didn't get 500/- discount . Buy through HDFC bank,0,0.7,0.0
113,Gud Phone,5.0,Better phone,0,0.0,0.5
114,Good,5.0,Good,0,0.7,0.7
115,Nyc,5.0,Good,0,0.0,0.7
116,Good,5.0,Good,0,0.7,0.7
117,Np,5.0,Good phone,0,0.0,0.7
118,Sound v acha nhi hai,4.0,Front camera low hai cost jyada hair 9999 take think tha,0,0.4,0.0
119,A good product from MI at an affordable price tag.,4.0,Overall the product build and handling quality is good.,0,0.7,0.35
120,Love this product,5.0,Wonderful phone.....,0,0.5,1.0
121,Good,3.0,Low pictures clarity,0,0.7,0.0
122,Good,5.0,Hello,0,0.7,0.0
123,Very good,5.0,Good quality,0,0.9099999999999999,0.7
124,Awesome,5.0,Fast delivery great,0,1.0,0.5
125,Best budget phone,5.0,This phone is simply awesome in this price range??,0,1.0,1.0
126,Superb,5.0,Good,0,1.0,0.7
127,Good job Amazon,5.0,One of the best phone under 12k.,0,0.7,1.0
128,Value for money,4.0,Nice mobile in this price range,0,0.0,0.6
129,Good product,5.0,Awesome product,0,0.7,1.0
130,Average,3.0,Average,0,-0.15,-0.15
131,Excellent.,5.0,Excellent mobile good display quality,0,1.0,0.85
132,Sound speaker is not working,1.0,Out of 2 only 1 speaker is working from day 1,0,0.4,0.0
133,Amazing,5.0,"Value for money...
Dislike late delivery",0,0.6000000000000001,-0.3
134,Bad service for return,1.0,Bad facility for replacement,0,-0.6999999999999998,-0.6999999999999998
135,I've fallen in love!,5.0,I've fallen in love!,0,0.625,0.625
136,Poor,3.0,Poor,0,-0.4,-0.4
137,Good,5.0,Good,0,0.7,0.7
138,Not value of money.,1.0,worst product ever. don't buy it.,0,0.0,-1.0
139,Excellent,5.0,"Awesome mobile, value of money...",0,1.0,1.0
140,Gud,5.0,Nice phn,0,0.0,0.6
141,battery life good,4.0,notch. display better,0,0.7,0.5
142,Better bakup osm,5.0,Nice products ?? . . .,0,0.5,0.6
143,waste of money,1.0,waste of money,0,-0.2,-0.2
144,Amazing,5.0,Nice and super mobile,0,0.6000000000000001,0.4666666666666667
145,best phone in budget,5.0,awosome phone,0,1.0,0.0
146,Battery life,4.0,Phone system is nice,0,0.0,0.6
147,Very nice,4.0,Mobile is very nice.,0,0.78,0.78
148,Good,5.0,Good Product,0,0.7,0.7
149,Must buy,5.0,Great phone@,0,0.0,0.8
150,Super farfamens,3.0,Nice mobaile,0,0.3333333333333333,0.6
151,Amazing,5.0,Mind blowing,0,0.6000000000000001,0.0
152,Camera,5.0,Nice product,0,0.0,0.6
153,Nice,5.0,Like,0,0.6,0.0
154,.,4.0,Nice,0,0.0,0.6
155,"Good, very good",5.0,Good product Amazon,0,0.8049999999999999,0.7
156,Marvellous,5.0,It's awesome phone.,0,0.0,1.0
157,Nice product in cheap price,5.0,I have fall in love,0,0.5,0.5
158,Great phone,4.0,I loved the display,0,0.8,0.7
159,Munish gupta,3.0,All is well,0,0.0,0.0
160,Good work.,5.0,Nice phone.,0,0.7,0.6
161,Value for money,5.0,Superb????????????,0,0.0,1.0
