,Review Title,Rating,Comments,Useful,T_Sentiment,C_Sentiment
162,Bad video quality,3.0,Video screen short,0,-0.6999999999999998,0.0
163,??,4.0,??,0,0.0,0.0
164,Value for money very good,5.0,Very good product,0,0.9099999999999999,0.9099999999999999
165,Mi is best,5.0,Simply Mi ia best,0,1.0,1.0
166,Very good,5.0,Very nice,0,0.9099999999999999,0.78
167,Excellent,5.0,Excellent,0,1.0,1.0
168,No thanks,5.0,No thanks,0,-0.1,-0.1
169,Good phone,5.0,Battery and camera,0,0.7,0.0
170,Gud product,5.0,Value for money,0,0.0,0.0
171,battery,5.0,daaaaaaaam good,0,0.0,0.7
172,Super,5.0,Value for money,0,0.3333333333333333,0.0
173,Coustly,1.0,Selfi flesh not,0,0.0,0.0
174,"Value for money, must buy",5.0,Perfect,0,0.0,1.0
175,Value of money,4.0,Superb product,0,0.0,1.0
176,Best,5.0,Best for price,0,1.0,1.0
177,Very good product,5.0,Really like it,0,0.9099999999999999,0.2
178,Not ok,5.0,Not ok,0,-0.25,-0.25
179,Good,5.0,User friendly,0,0.7,0.375
180,Handy,5.0,Slow charging,0,0.6,-0.30000000000000004
181,Good service,5.0,Good product,0,0.7,0.7
182,Good rear camera,3.0,Overall good,0,0.7,0.35
183,Looking smart,4.0,Good,0,0.21428571428571427,0.7
184,Nice,5.0,Nice,0,0.6,0.6
185,Good,4.0,Good,0,0.7,0.7
186,Awesome,5.0,Good,0,1.0,0.7
187,Best Phone from Redmi Series,5.0,Best,0,1.0,1.0
188,super,5.0,super,0,0.3333333333333333,0.3333333333333333
189,nice for value,5.0,all is fine,0,0.6,0.4166666666666667
190,Mi,4.0,Nice mobile,0,0.0,0.6
191,Camera,5.0,Nice mobile,0,0.0,0.6
192,Very good,5.0,Yes,0,0.9099999999999999,0.0
193,Great,4.0,Best phone,0,0.8,1.0
194,Best mobile,5.0,Too good,0,1.0,0.7
195,Worthy,4.0,Good one,0,0.3333333333333333,0.7
196,Case back no ritan,5.0,Case back,0,0.0,0.0
197,Best Phone,5.0,Mi Best,0,1.0,1.0
198,Battery,5.0,Its osm,0,0.0,0.0
199,Fantastic,3.0,Super,0,0.4,0.3333333333333333
200,Excellent,5.0,Good,0,1.0,0.7
201,Good,5.0,Good,0,0.7,0.7
202,Nice,4.0,Nice,0,0.6,0.6
203,Awesome,5.0,Good,0,1.0,0.7
204,Nice,5.0,Nice,0,0.6,0.6
205,good,5.0,good,0,0.7,0.7
206,Good,5.0,Good,0,0.7,0.7
207,Midil,5.0,Nice,0,0.0,0.6
208,Gty,5.0,Jiiy,0,0.0,0.0
209,Good,5.0,Good,0,0.7,0.7
210,Superb,5.0,Good,0,1.0,0.7
211,Joordaar maja aaa gya,5.0,Nice,0,0.0,0.6
212,res for custmer,5.0,like,0,0.0,0.0
213,Best display and advance features,5.0,Nice,0,1.0,0.6
214,Nice phone,5.0,Ok,0,0.6,0.5
215,Ni,1.0,No,0,0.0,0.0
216,Launch display,5.0,Ok,0,0.0,0.5
217,Super,5.0,Good,0,0.3333333333333333,0.7
218,Worst front camera on a Mi device till date.,1.0,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,0,-1.0,-0.63
219,Look some other options guys.... It's just a crap.,1.0,"Guys, just don't buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It's just an unpolished product. The Pinch to fill the video doesn't work in Mi Video app. The left edge remains like this ""|"" and right "")"" even this happens in Youtube. Both apps leave way too much on both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Zone, it's shown as GMT+5:30. It automatically detects the time zone as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phone, the Limitless theme has Icons written in chinese. The camera app is inconsistent. The so called AI doesn't seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows icon within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap..

So, a 5.84 screen display is just a waste if I cann't watch video to its limit. What's the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notification icons in the notification bar, No more connection speed and battery percentage too, until you drop that notification panel. Stupid MI !!!!",0,-0.4625,-0.022139446924603175
220,Horrible experience of Redmi 6pro - Readon to know more##,1.0,"Please don't buy!!

Horrible phone from Xiaomi!!

The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi-tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please don't even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted...

The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix..

Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can't taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone...",10,-0.25,-0.0715492424242424
221,Got a defective one and requested for a replacement,1.0,"Phone is really nice and good looking.
I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don't know I'm the one who facing this or is it a common problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don't know wether it's a physical problem or a software problem. I wish the replacement phone will don't have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon",0,0.0,-2.2204460492503132e-17
222,cant connect to camera,3.0,"good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India.",0,0.0,0.178125
223,Worst Camera,2.0,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone.",10,-1.0,0.2
224,This mobile is defective,1.0,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",8,0.0,-0.14999999999999997
225,Camera not good,1.0,Not good photo crirati,11,-0.35,-0.35
226,Not worth the money paid. Worst camera & screen size,1.0,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,5,-0.575,-0.24595959595959593
227,UNBOXING AND CAMERA SHOTS!,5.0,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
Manuals with warranty information.
Charging cable.
5V 2A power adapter.
Transparent TPU case.
Redmi 6 Pro.
----------
DESIGN
----------
The transparent case fits well and is a perfect fit. Gives nice feel in hands.
It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
It sports a FULL HD + display with that 19:9 aspect ratio.
On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port.
Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker.
Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro.
This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone.
Redmi 6 Pro is backed up with 4000mAh battery that is great.
Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10.
So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.",0,0.0,0.2815532879818594
228,Battery,5.0,NYC camera and battery backup,0,0.0,0.0
229,This Time Mi cheats..,1.0,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..,0,0.0,-0.166
230,A compact power pack Device with great battery and a decent camera,5.0,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
Audio 9/10
Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",0,0.48333333333333334,0.30185185185185187
231,Good Phone but price HIGHER,4.0,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000",0,0.475,0.2090909090909091
232,Best phone forever.,5.0,Best phone with face unlock full hd video recording and all latest features.,0,1.0,0.6166666666666667
233,"Not impressive, Y2 is better",2.0,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.",0,0.0,0.125
234,"Very Terrible, Worst Smartphone.",1.0,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",0,-1.0,-0.6275
235,Don't buy this mobile mi 6 pro,1.0,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",0,0.0,0.037272727272727284
236,Good phone,5.0,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,0,0.7,0.45999999999999996
237,Disappointed.,1.0,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",0,-0.75,0.1159090909090909
238,dont buy these product. these copy of the product,1.0,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",0,0.0,0.25833333333333336
239,average phone,3.0,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
two days battery backup if you not playing heavy games on it like PUBG.
Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
process optimization in this phone is good.
there are a little notch which increase the looks and design of phone.
CONS:-
one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
Downloading process in background is little bit slow in this phone as compare to other redmi phones.
video recording quality of this phone is not good.
only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.",0,-0.15,0.19518150252525254
240,A compact power pack Device with great battery and a decent camera,5.0,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
Audio 9/10
Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",2,0.48333333333333334,0.30185185185185187
241,Good Phone but price HIGHER,4.0,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000",0,0.475,0.2090909090909091
242,Best phone forever.,5.0,Best phone with face unlock full hd video recording and all latest features.,20,1.0,0.6166666666666667
243,"Not impressive, Y2 is better",2.0,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.",0,0.0,0.125
244,"Very Terrible, Worst Smartphone.",1.0,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",0,-1.0,-0.6275
245,Don't buy this mobile mi 6 pro,1.0,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",0,0.0,0.037272727272727284
246,Good phone,5.0,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,3,0.7,0.45999999999999996
247,Disappointed.,1.0,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",0,-0.75,0.1159090909090909
248,dont buy these product. these copy of the product,1.0,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",0,0.0,0.25833333333333336
249,average phone,3.0,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
two days battery backup if you not playing heavy games on it like PUBG.
Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
process optimization in this phone is good.
there are a little notch which increase the looks and design of phone.
CONS:-
one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
Downloading process in background is little bit slow in this phone as compare to other redmi phones.
video recording quality of this phone is not good.
only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.",0,-0.15,0.19518150252525254
250,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",1.0,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000-9500.Damaged charger given Amazon is cheating people",0,0.07500000000000005,0.2166666666666667
251,"Redmi 6 pro looking good, better performance.",5.0,Good,0,0.6,0.7
252,I love mi 6 pro,5.0,"Osm product
Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly
This phone is very good and it's battery backup is amazing I love it very much
And it's camera is very good quality",0,0.5,0.5733333333333334
253,Always Mi Best in Mobile ??,5.0,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.",0,1.0,0.3685714285714286
254,I am satisfying this phone,5.0,Bettary so good,0,0.5,0.7
255,excellent this redmi 6 Pro,5.0,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,0,1.0,0.8
256,It Hangs,1.0,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.",0,0.0,0.0
257,Value for money...,5.0,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..",0,0.0,0.7749999999999999
258,Rock u,5.0,"Really nice one
Thankd",0,0.0,0.6
259,Good for sharp use,4.0,Dislike snapdragon 425,0,0.2875,0.0
260,turn out amazing to be amazing worth it,5.0,"the camera is good, phone is fast overall work well in all department",2,0.5000000000000001,0.3
261,Don't buy camera quality extreme poor.,1.0,"I got this product today camera both front and back are not upto mark.
Pixels are scattered. Please don't buy this phone just because u r getting it for 11k.",0,-0.2625,0.0
262,Overall Nice,4.0,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It contains Ir blaster,there are no other phones provides that.",1,0.3,0.24375
263,Satisfied,4.0,Very good phone at this price. Display quality perfect,0,0.5,0.955
264,Dual 4G support,1.0,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,0,0.0,0.0
265,Very good,4.0,Good purchase nice phone with good features like 3 slots and face lock,3,0.9099999999999999,0.6666666666666666
266,Not good as expected,1.0,Do not buy.,0,-0.22499999999999998,0.0
267,Heating issues and battery is not upto the mark.,1.0,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.,0,0.0,0.19666666666666674
268,Wonder full mobile,5.0,"Amazing phone like a iphone
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for money",0,0.35,0.44217687074829926
269,Value for money,5.0,Best value for money,0,0.0,1.0
270,Batytery is not good mentioned 4000mah but not good,1.0,Please dont't bye camera is good but battery back up not good,0,-0.35,0.11666666666666665
271,19:9 display awesome,5.0,i love it awesome phone 11k camera battery super b,0,1.0,0.611111111111111
272,Nice mobile,4.0,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cons : Camera is good but nothing special having dual camera setup.",0,0.6,0.4785714285714286
273,Dont Buy,1.0,"Charging issue
Lagging issue
hanging issue
multiple issue.",0,0.0,0.0
274,Nice mobile,3.0,"Nice product
Front or rear camera thoda accha hona chahiye tha",0,0.6,0.6
275,"Cemera quality,face unlock most important in this phone",5.0,"I like This Phone, Awesome look and design.
I'm using this phone",0,0.45,1.0
276,Mi is best phone,4.0,Product is avasome but invoice is note include......,0,1.0,0.0
277,Its a OK Phone,3.0,"Redmi Note4, Note5, now 6pro..It seems the older the model the better was the performance as I used all 3 models in the line. The notch design, hides the battery % and network speed, one has to pull down a bit to see these 2 things. Note 5 and 6pro both have a common issue-- after switching the swipe up (to unlock) does not work smoothly every time. The escape is to switch off the swipe up feature. After Note4, in the newer models the length of USB cable has become shorter, whichis a problem if you are little away from the plug point. How much cost does Xiaomi saves by shortening the cable? 6pro came with a smaller ejection tool, additional cost saving by cutting 2gm of metal. The front flash if Note5 has been removed in 6pro. These manufacturers seem to be idiots and fooling public by launching new models without any real additional feature or improvement. Anyway, its an OK phone for 10,000 (3GB/32GB). For 11,000 a customer expects a little more, and Xiaomi disappoints here.",0,0.5,0.023279671717171716
278,Redmi,5.0,I love mi,0,0.0,0.5
279,Not worth for the price.,1.0,"Same old configurations with higher price.
Not worth for money.
Camera quality is not up to mark.
Notch - I personally feel this as a feature which is not useful for this size (5.84) of phone. Infact that makes phone looks smaller than 5.84 as notch is also included in size.

There are better options available in same price range.",0,-0.15,0.095
